2026-09-24T11:51:15.002+03:00 [s1] [O] [SYS] CHATTER NODE LoRa-Chatter-1B44
2026-09-24T11:54:54.290+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/6 Q75
2026-09-24T11:54:55.277+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:54:56.312+03:00 [s1] [O] [LNK OK]   RX  -59/6 Q100 TX  -59/5 Q75
2026-09-24T11:54:57.344+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -58/5 Q75
2026-09-24T11:54:58.293+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/6 Q75
2026-09-24T11:54:59.329+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/6 Q75
2026-09-24T11:55:00.319+03:00 [s1] [O] [LNK OK]   RX  -60/6 Q100 TX  -59/5 Q75
2026-09-24T11:55:01.307+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:55:02.344+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/6 Q75
2026-09-24T11:55:03.332+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/6 Q75
2026-09-24T11:55:04.321+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/5 Q75
2026-09-24T11:55:05.312+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/6 Q75
2026-09-24T11:55:06.349+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/5 Q75
2026-09-24T11:55:07.338+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:55:08.370+03:00 [s1] [O] [LNK OK]   RX  -61/5 Q100 TX  -59/5 Q75
2026-09-24T11:55:08.914+03:00 [s1] [O] [DIAG] 16B TX=59 RX=58 CRC=0 HDR=0 NRP=1 [30S] TX=30 RX=30 CRC=0 HDR=0 NRP=0 RQ=99 TQ=75
2026-09-24T11:55:09.363+03:00 [s1] [O] [LNK OK]   RX  -60/7 Q100 TX  -59/5 Q75
2026-09-24T11:55:10.354+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:55:11.342+03:00 [s1] [O] [LNK OK]   RX  -60/5 Q100 TX  -59/6 Q75
2026-09-24T11:55:12.378+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -59/5 Q75
2026-09-24T11:55:12.462+03:00 [s1] [I] /diag size 225
2026-09-24T11:55:12.555+03:00 [s1] [O] [SYS] DIAG frame=225B
2026-09-24T11:55:13.952+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q100 TX  -58/6 Q75
2026-09-24T11:55:15.436+03:00 [s1] [O] [LNK CRC]  RX  -58/3 Q97  TX  ---/--- Q75
2026-09-24T11:55:16.021+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:17.013+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/6 Q75
2026-09-24T11:55:18.002+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:19.081+03:00 [s1] [O] [LNK OK]   RX  -58/6 Q97  TX  -58/5 Q75
2026-09-24T11:55:20.026+03:00 [s1] [O] [LNK OK]   RX  -58/6 Q97  TX  -58/5 Q75
2026-09-24T11:55:21.017+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:22.009+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:23.042+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:24.033+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:25.066+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/6 Q75
2026-09-24T11:55:26.056+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:27.047+03:00 [s1] [O] [LNK OK]   RX  -58/6 Q97  TX  -58/5 Q75
2026-09-24T11:55:28.038+03:00 [s1] [O] [LNK OK]   RX  -59/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:29.072+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:30.062+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:31.052+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
2026-09-24T11:55:32.087+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/6 Q75
2026-09-24T11:55:33.077+03:00 [s1] [O] [LNK OK]   RX  -58/6 Q97  TX  -58/5 Q75
2026-09-24T11:55:34.068+03:00 [s1] [O] [LNK OK]   RX  -58/5 Q97  TX  -58/5 Q75
